memberId,memberName,email,phoneNumber,barangay,address,beneficiaries,dateOfBirth,gender
MEM-2026-0001,Juan Miguel Dela Cruz,juan.delacruz@example.com,09171234001,San Isidro,"12 Mabini St., San Isidro",Maria Dela Cruz,1985-03-12,male
MEM-2026-0002,Maria Clara Santos,maria.santos@example.com,09171234002,Poblacion,"45 Rizal Ave., Poblacion",Jose Santos,1990-07-25,female
MEM-2026-0003,Jose Antonio Reyes,jose.reyes@example.com,09171234003,Santo Nino,"78 Bonifacio St., Santo Nino",Ana Reyes,1978-11-04,male
MEM-2026-0004,Ana Marie Bautista,ana.bautista@example.com,09171234004,Bagong Silang,"9 Del Pilar St., Bagong Silang",Ramon Bautista,1992-01-18,female
MEM-2026-0005,Ramon Luis Garcia,ramon.garcia@example.com,09171234005,San Antonio,"23 Luna St., San Antonio",Corazon Garcia,1983-09-30,male
MEM-2026-0006,Corazon Villanueva,corazon.villanueva@example.com,09171234006,Mabini,"56 Aguinaldo St., Mabini",Eduardo Villanueva,1975-05-22,female
MEM-2026-0007,Eduardo Ramos Mendoza,eduardo.mendoza@example.com,09171234007,Rizal,"101 Quezon St., Rizal",Lourdes Mendoza,1988-12-09,male
MEM-2026-0008,Lourdes Aquino,lourdes.aquino@example.com,09171234008,San Roque,"34 Magsaysay St., San Roque",Ricardo Aquino,1995-04-15,female
MEM-2026-0009,Ricardo Tolentino,ricardo.tolentino@example.com,09171234009,Santa Cruz,"67 Lapu-Lapu St., Santa Cruz",Teresita Tolentino,1980-08-07,male
MEM-2026-0010,Teresita Navarro,teresita.navarro@example.com,09171234010,Del Pilar,"88 Katipunan Rd., Del Pilar",Alfredo Navarro,1987-02-28,female
